"","id","Decimal.Latitude","Decimal.Longitude"
"1",7399,43.56667,4.56667
"2",5101,-16.99833,27.99389
"3",5098,-16.99833,27.99389
"4",1952,59.03333,-2.56667
"5",1953,59.23389,-2.73361
"6",1956,57.52556,-7.6575
"7",1957,58.89806,-2.68167
"8",1996,57.52167,-7.63361
"9",2000,58.68361,-3.12306
"10",2001,59.11694,-2.57389
"11",2003,58.79917,-3.10167
"12",1679,55.88333,8.23333
"13",1726,55.88333,8.23333
"14",1728,55.88333,8.23333
"15",1888,55.88333,8.23333
"16",6894,45.36667,12.46667
"17",6902,39.333504,-0.346729
"18",6952,40.71028,0.84417
"19",6970,43.59306,3.25389
"20",8252,56.16667,9.33333
"21",14742,45.290147,-62.735984
"22",4308,50,-86
"23",13728,51.433288,-87.125633
"24",13729,52.941847,-73.107078
"25",3876,55,-115
"26",13860,55.410147,-105.758445
"27",18117,51.433288,-87.125633
"28",1060,60,-96
"29",9056,37.1,-122.33333
"30",5974,62.49816,58.78916
"31",521,47,3
"32",523,51.5,10.5
"33",576,45.16667,5.71667
"34",577,45.83333,12.83333
"35",578,47,8
"36",579,47.33333,13.33333
"37",580,51.5,10.5
"38",317,54,-4
"39",10795,52.43333,5.35
"40",6842,34.5,-5.11667
"41",7425,43.56667,4.73333
"42",6969,43.59306,3.25389
"43",6843,36.25,5
"44",7382,43.56667,4.56667
"45",7366,44.615,12.18639
"46",7367,39.22389,9.03083
"47",6924,40.71028,0.84417
"48",6927,40.71028,0.84417
"49",7140,37.53333,33.75
"50",7373,43.56667,4.56667
"51",7376,43.56667,4.56667
"52",7400,43.56667,4.56667
"53",7384,43.56667,4.73333
"54",6975,45.11389,8.39167
"55",5948,51.29167,-0.38361
"56",6000,51.29167,-0.38361
"57",18132,51.433288,-87.125633
"58",7427,43.61667,4.46667
"59",7353,40.66667,-0.66667
"60",6858,46.45667,15.67083
"61",18221,60.108611,-113.6425
"62",13528,60.108611,-113.6425
"63",13857,55.443204,-97.404876
"64",18103,63.748366,-136.036766
"65",18060,52.941847,-73.107078
"66",18162,63.748366,-136.036766
"67",18133,52.941847,-73.107078
"68",18139,53.003392,-60.79843
"69",14259,51.433288,-87.125633
"70",18218,55.410147,-105.758445
"71",13855,46.666605,-66.291594
"72",18128,51.433288,-87.125633
"73",14108,46.666605,-66.291594
"74",14111,51.433288,-87.125633
"75",14409,55.410147,-105.758445
"76",13995,46.666605,-66.291594
"77",14719,45.290147,-62.735984
"78",18108,53.003392,-60.79843
"79",18115,46.666605,-66.291594
"80",18222,56.159482,-125.441985
"81",13858,51.433288,-87.125633
"82",13863,55.443204,-97.404876
"83",13727,55.443204,-97.404876
"84",18182,55.443204,-97.404876
"85",18055,51.433288,-87.125633
"86",14103,51.433288,-87.125633
"87",18202,52.941847,-73.107078
"88",14595,46.666605,-66.291594
"89",14714,60.108611,-113.6425
"90",14715,51.433288,-87.125633
"91",14791,56.159482,-125.441985
"92",18176,56.159482,-125.441985
"93",14248,51.433288,-87.125633
"94",18192,64.407745,-120.52011
"95",14107,55.443204,-97.404876
"96",13819,46.666605,-66.291594
"97",18188,56.159482,-125.441985
"98",18173,55.410147,-105.758445
"99",18194,55.410147,-105.758445
"100",18201,55.410147,-105.758445
"101",4123,50,-86
"102",14606,52.941847,-73.107078
"103",14737,51.433288,-87.125633
"104",14819,60.108611,-113.6425
"105",13856,52.941847,-73.107078
"106",13527,60.108611,-113.6425
"107",13726,51.433288,-87.125633
"108",18114,64.407745,-120.52011
"109",14517,45.290147,-62.735984
"110",13521,60.108611,-113.6425
"111",13697,52.941847,-73.107078
"112",14445,51.433288,-87.125633
"113",18161,53.003392,-60.79843
"114",18102,64.407745,-120.52011
"115",18150,56.159482,-125.441985
"116",10876,-29.85,31
"117",14420,52.941847,-73.107078
"118",18213,55.410147,-105.758445
"119",14189,55.142948,-114.807219
"120",14800,51.433288,-87.125633
"121",14432,46.666605,-66.291594
"122",14603,56.159482,-125.441985
"123",14721,52.941847,-73.107078
"124",13711,51.433288,-87.125633
"125",18127,60.108611,-113.6425
"126",14799,60.108611,-113.6425
"127",14547,60.108611,-113.6425
"128",18185,46.666605,-66.291594
"129",17603,-1.557366,32.735847
"130",4927,55.63472,2.86417
"131",18203,53.003392,-60.79843
"132",13732,51.433288,-87.125633
"133",13864,52.941847,-73.107078
"134",14338,51.433288,-87.125633
"135",18205,51.433288,-87.125633
"136",4277,60,-98
"137",3731,54,-72
"138",14597,45.290147,-62.735984
"139",13765,55.142948,-114.807219
"140",14790,60.108611,-113.6425
"141",13859,52.941847,-73.107078
"142",18167,53.003392,-60.79843
"143",13862,56.159482,-125.441985
"144",14701,55.142948,-114.807219
"145",14053,56.159482,-125.441985
"146",14664,45.290147,-62.735984
"147",3681,60,-98
"148",18206,52.941847,-73.107078
"149",14680,55.443204,-97.404876
"150",3379,60,-98
"151",14464,46.666605,-66.291594
"152",18183,53.003392,-60.79843
"153",18191,55.410147,-105.758445
"154",18168,64.407745,-120.52011
"155",18223,60.108611,-113.6425
"156",14149,46.666605,-66.291594
"157",13557,60.108611,-113.6425
"158",14713,51.433288,-87.125633
"159",14550,60.108611,-113.6425
"160",18121,63.748366,-136.036766
"161",18105,63.748366,-136.036766
"162",13850,56.159482,-125.441985
"163",14693,56.159482,-125.441985
"164",14707,56.159482,-125.441985
"165",14067,55.443204,-97.404876
"166",14290,55.410147,-105.758445
"167",18111,55.443204,-97.404876
"168",18224,46.666605,-66.291594
"169",14720,51.433288,-87.125633
"170",18112,46.666605,-66.291594
"171",14330,52.941847,-73.107078
"172",13908,52.941847,-73.107078
"173",18193,63.748366,-136.036766
"174",14774,51.433288,-87.125633
"175",14559,45.290147,-62.735984
"176",2926,48.99722,-97.22917
"177",3937,54,-72
"178",4011,60,-98
"179",13884,45.290147,-62.735984
"180",14806,45.290147,-62.735984
"181",14608,55.142948,-114.807219
"182",14215,55.142948,-114.807219
"183",18177,63.748366,-136.036766
"184",3682,60,-98
"185",14505,55.443204,-97.404876
"186",3680,60,-98
"187",14696,45.290147,-62.735984
"188",14192,45.290147,-62.735984
"189",14085,51.433288,-87.125633
"190",18195,52.941847,-73.107078
"191",14443,46.666605,-66.291594
"192",14700,60.108611,-113.6425
"193",14368,55.142948,-114.807219
"194",13547,60.108611,-113.6425
"195",13763,55.443204,-97.404876
"196",13764,55.410147,-105.758445
"197",13782,52.941847,-73.107078
"198",14364,45.290147,-62.735984
"199",14397,46.666605,-66.291594
"200",13832,45.290147,-62.735984
"201",13767,51.433288,-87.125633
"202",18131,63.748366,-136.036766
"203",1373,55.33333,3
"204",13846,55.443204,-97.404876
"205",4064,55,-115
"206",13843,45.290147,-62.735984
"207",14704,60.108611,-113.6425
"208",18106,64.407745,-120.52011
"209",14672,56.159482,-125.441985
"210",14581,45.290147,-62.735984
"211",14069,52.941847,-73.107078
"212",18169,64.407745,-120.52011
"213",4266,54,-72
"214",14755,55.443204,-97.404876
"215",4234,60,-98
"216",13762,56.159482,-125.441985
"217",14266,45.290147,-62.735984
"218",2910,48.99722,-97.22917
"219",13713,51.433288,-87.125633
"220",3730,50,-86
"221",13836,46.666605,-66.291594
"222",18059,51.433288,-87.125633
"223",14698,52.941847,-73.107078
"224",13822,45.290147,-62.735984
"225",3754,50,-86
"226",14117,45.290147,-62.735984
"227",13830,46.666605,-66.291594
"228",4224,54,-72
"229",4271,50,-86
"230",3702,60,-98
"231",14337,55.443204,-97.404876
"232",14457,46.666605,-66.291594
"233",14785,46.666605,-66.291594
"234",17605,-1.557366,32.735847
"235",14447,45.290147,-62.735984
"236",13601,60.108611,-113.6425
"237",13854,52.941847,-73.107078
"238",14327,46.666605,-66.291594
"239",1532,55.33333,3
"240",13766,55.443204,-97.404876
"241",14697,51.433288,-87.125633
"242",18204,53.003392,-60.79843
"243",864,60.21,-151.17
"244",14100,56.159482,-125.441985
"245",5239,35.53583,-74.95944
"246",1513,55.33333,3
"247",14293,55.443204,-97.404876
"248",2907,48.99722,-97.22917
"249",13523,60.108611,-113.6425
"250",10881,-29.85,31
"251",13201,42.550438,-59.822611
"252",13781,51.433288,-87.125633
"253",14200,55.443204,-97.404876
"254",4686,55.63472,2.86417
