type,total_thickness,mean_thickness,fresh_weight,a663,a644,a452,upper_stomata,lower_stomata,mean_weight,chl_a,chl_b,carotenoid,volume,stomata_final
south,10.0,0.5,580,0.415,0.209,0.456,0,46,29,0.2041319,0.1479975,0.104320938,39.269875,230
south,10.0,0.5,650,0.915,0.330,1.129,0,56,32.5,0.456078,0.1788125,0.260963237,39.269875,280
south,7.5,0.375,580,0.995,0.377,1.215,,,29,0.4951207,0.1122935,0.28169872,29.45240625,
south,10.1,0.505,597,0.789,0.269,1.092,0,54,29.85,0.3939879,0.1087765,0.253668762,39.66257375,270
south,10.0,0.5,,0.741,0.256,1.304,0,92,,0.3698646,0.1847305,0.303433075,39.269875,460
south,9.5,0.475,689,0.547,0.295,0.625,0,92,34.45,0.2681645,0.347828,0.141476785,37.30638125,460
south,10.1,0.505,540,0.992,0.548,1.348,0,82,27,0.4857268,0.1557725,0.312901058,39.66257375,410
south,8.2,0.41,460,0.885,0.332,1.072,0,,23,0.4405362,0.1618545,0.247792985,32.2012975,
south,10.5,0.525,640,1.103,0.381,1.466,0,82,32,0.5505571,0.121776,0.340577636,41.23336875,410
south,8.0,0.4,469,0.684,0.258,1.029,,,23.45,0.3404178,0.1894705,0.238399762,31.4159,
south,8.9,0.445,630,1.057,0.400,1.388,0,81,31.5,0.525995,0.13943,0.322130698,34.95018875,405
south,9.1,0.455,650,1.000,0.338,1.391,0,74,32.5,0.4994858,0.1037465,0.323545975,35.73558625,370
south,11.0,0.55,695,0.711,0.245,1.074,,,34.75,0.3549195,0.133735,0.249553204,43.1968625,
south,9.2,0.46,550,0.780,0.289,1.077,1,95,27.5,0.3884349,0.2045935,0.249086279,36.128285,475
south,14.6,0.73,932,1.3,0.5,1.8,0,72,46.6,0.6325587,0.1248495,0.415378787,57.3340175,360
south,10.8,0.54,595,0.943,0.312,1.421,0,86,29.75,0.4713242,0.111397,0.33090275,42.411465,430
south,10.5,0.525,610,0.758,0.262,1.070,0,89,30.5,0.3783442,0.139609,0.248272129,41.23336875,445
south,10.0,0.5,730,0.826,0.304,1.17,0,68,36.5,0.4114364,0.1047325,0.271329791,39.269875,340
south,11.0,0.55,710,0.655,0.235,1.026,0,86,35.5,0.3265385,0.1511725,0.238276866,43.1968625,430
north,8.0,0.4,460,0.415,0.235,0.442,0,67,23,0.2029385,0.131059,0.101200828,31.4159,335
north,7.5,0.375,400,0.916,0.313,1.369,0,43,20,0.4573733,0.095146,0.318894032,29.45240625,215
north,7.0,0.35,350,0.674,0.229,0.920,0,105,17.5,0.3365989,0.1685745,0.212791541,27.4889125,525
north,9.5,0.475,476,1.053,0.378,1.233,0,45,23.8,0.5249448,0.1651625,0.285039288,37.30638125,225
north,8.1,0.405,,1.035,0.371,1.282,0,68,,0.5159961,0.217217,0.296189692,31.80859875,340
north,8.1,0.405,564,0.598,0.338,0.651,0,128,28.2,0.2924558,0.1742035,0.14933925,31.80859875,640
north,9.2,0.46,480,1.029,0.379,1.284,0,63,24,0.5125389,0.0896065,0.298145757,36.128285,315
north,6.4,0.32,350,0.611,0.211,0.911,0,,17.5,0.3049801,0.1639315,0.211063799,25.13272,
north,8.5,0.425,500,1.021,0.367,1.228,0,96,25,0.5089697,0.1770555,0.283897915,33.37939375,480
north,7.2,0.36,420,0.887,0.354,1.143,,,21,0.4405564,0.2301005,0.263884077,28.27431,
north,7.5,0.375,500,1.127,0.455,1.362,0,111,25,0.5595205,0.2380445,0.314462516,29.45240625,555
north,8.7,0.435,540,1.483,0.533,1.725,0,127,27,0.7392803,0.198843,0.399086707,34.16479125,635
north,9.0,0.45,530,1.202,0.438,1.440,,,26.5,0.5989258,0.1758585,0.333244937,35.3428875,
north,8.0,0.4,417,0.939,0.363,1.094,0,96,20.85,0.4669233,0.2179975,0.252085395,31.4159,480
north,9.5,0.475,606,1.2,0.5,1.4,3,54,30.3,0.604611,,0.336117896,37.30638125,270
north,9.0,0.45,509,,,,0,81,25.45,,0.153257,,35.3428875,405
north,7.6,0.38,490,0.898,0.332,1.064,0,58,24.5,0.4472312,,0.247646287,29.845105,290
north,9.0,0.45,560,,,,0,88,28,,0.1740975,,35.3428875,440
north,9.0,0.45,550,1.055,0.384,1.373,0,96,27.5,0.5256994,,0.320147097,35.3428875,480
