area,pi,rank,log(pi),rank2,,,,,,,,,,,
water,0.255128205,1,-0.593241526,1,,,,,,,,,,,
water,0.106410256,2,-0.97301651,2,,,,,,,,,,,
water,0.087179487,3,-1.05958569,3,,,,,,,,,,,
water,0.071794872,4,-1.143906576,4,,,,,,,,,,,
water,0.057692308,5,-1.238882089,5,,,,,,,,,,,
water,0.028205128,6,-1.549671922,6,,,,,,,,,,,
water,0.026923077,7,-1.569875308,7,,,,,,,,,,,
water,0.026923077,7,-1.569875308,7,,,,,,,,,,,
water,0.025641026,9,-1.591064607,9,,Habitat,plnp,species,shannon,evenness,domiant species,True diversity,alpha,gamma,beta
water,0.025641026,9,-1.591064607,9,,total,-2.735521845,39,2.735521845,0.746683722,Dinoflagellates,15.24582862,13.516,15.246,1.128
water,0.024358974,11,-1.613341002,11,,water ,-2.855536738,34,2.855536738,0.809768802,Dinoflagellates,16.07311522,,,
water,0.024358974,11,-1.613341002,11,,foliage,-2.672394525,37,2.672394525,0.74008731,Dinoflagellates,13.89036024,,,
water,0.023076923,13,-1.636822098,13,,sediment,-2.373143435,38,2.373143435,0.652395113,"Single celled algae, ",10.5837698,,,
water,0.021794872,14,-1.661645681,14,,,,,,,,,,,
water,0.019230769,15,-1.716003344,15,,,,,,,,,,,
water,0.017948718,16,-1.745966567,16,,,,,,,,,,,
water,0.016666667,17,-1.77815125,17,,,,,,,,,,,
water,0.015384615,18,-1.812913357,18,,,,,,,,,,,
water,0.014102564,19,-1.850701918,19,,,,,,,,,,,
water,0.014102564,19,-1.850701918,19,,,,,,,,,,,
water,0.014102564,19,-1.850701918,19,,,,,,,,,,,
water,0.012820513,22,-1.892094603,22,,,,,,,,,,,
water,0.01025641,23,-1.989004616,23,,,,,,,,,,,
water,0.01025641,23,-1.989004616,23,,,,,,,,,,,
water,0.01025641,23,-1.989004616,23,,,,,,,,,,,
water,0.008974359,26,-2.046996563,26,,,,,,,,,,,
water,0.007692308,27,-2.113943352,27,,,,,,,,,,,
water,0.005128205,28,-2.290034611,28,,,,,,,,,,,
water,0.003846154,29,-2.414973348,29,,,,,,,,,,,
water,0.003846154,29,-2.414973348,29,,,,,,,,,,,
water,0.003846154,29,-2.414973348,29,,,,,,,,,,,
water,0.002564103,32,-2.591064607,32,,,,,,,,,,,
water,0.002564103,32,-2.591064607,32,,,,,,,,,,,
water,0.001282051,34,-2.892094603,34,,,,,,,,,,,
foliage,0.346883469,1,-0.459816397,,,,,,,,,,,,
foliage,0.019647696,15,-1.70668836,,,,,,,,,,,,
foliage,0.010162602,21,-1.992995098,,,,,,,,,,,,
foliage,0.073170732,3,-1.135662602,,,,,,,,,,,,
foliage,0.022357724,13,-1.650572418,,,,,,,,,,,,
foliage,0.009485095,23,-2.022958322,,,,,,,,,,,,
foliage,0.008807588,25,-2.055143005,,,,,,,,,,,,
foliage,0.024390244,11,-1.612783857,,,,,,,,,,,,
foliage,0.021680217,14,-1.663936379,,,,,,,,,,,,
foliage,0.054878049,4,-1.260601339,,,,,,,,,,,,
foliage,0.025745257,9,-1.589302761,,,,,,,,,,,,
foliage,0.004742547,28,-2.323988317,,,,,,,,,,,,
foliage,0.08197832,2,-1.086300987,,,,,,,,,,,,
foliage,0.000677507,34,-3.169086357,,,,,,,,,,,,
foliage,0.000677507,34,-3.169086357,,,,,,,,,,,,
foliage,0.002710027,29,-2.567026366,,,,,,,,,,,,
foliage,0.011517615,19,-1.938637436,,,,,,,,,,,,
